instrument_type,symbol,scrip_name,scrip_code,isin,isin_reinvestment
Equity,ASHRAM,ASHRAM ONLINE.COM LTD.,526187,INE293C01019,
Equity,ASIIL,ASI Industries Ltd,502015,INE443A01030,
Equity,ASIAPAK,ASIA PACK LTD.,530899,INE784M01016,
Equity,ASIANTILES,ASIAN GRANITO INDIA LTD.,532888,INE022I01019,
Equity,AHLEAST,ASIAN HOTELS (EAST) LTD.,533227,INE926K01017,
Equity,ASIANPAINT,ASIAN PAINTS LTD.,500820,INE021A01026,
Equity,ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.,524434,INE810M01019,
Equity,ASTAR,ASIAN STAR CO.LTD.-$,531847,INE194D01017,
Equity,ASIANTNE,ASIAN TEA & EXPORTS LTD.-$,519532,INE822B01017,
Equity,ASITCFIN,ASIT C.MEHTA FINANCIAL SERVICES LTD.,530723,INE041B01014,
Equity,ASKAUTOLTD,ASK Automotive Ltd,544022,INE491J01022,
Equity,ASMTEC,ASM TECHNOLOGIES LTD.,526433,INE867C01010,
Equity,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,507526,INE073G01016,
Equity,ASSOCER,ASSOCIATED CERAMICS LTD.,531168,INE771E01010,
Equity,ASTEC,ASTEC LIFESCIENCES LIMITED,533138,INE563J01010,
Equity,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,532493,INE386C01029,
Equity,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,506820,INE203A01020,
Equity,ASUTENT,ASUTOSH ENTERPRISES LTD.,512433,INE508W01018,
Equity,ATHARVENT,ATHARV ENTERPRISES LTD.,530187,INE354E01031,
Equity,ATULAUTO,ATUL AUTO LTD.-$,531795,INE951D01028,
Equity,ATUL,ATUL LTD.,500027,INE100A01010,
Equity,ATVPR,ATV PROJECTS INDIA LTD.,500028,INE447A01015,
Equity,AUBANK,AU Small Finance Bank Ltd,540611,INE949L01017,
Equity,AURIONPRO,AURIONPRO SOLUTIONS LTD.,532668,INE132H01018,
Equity,AUROLAB,AURO LABORATORIES LTD.,530233,INE292C01011,
Equity,AUROPHARMA,AUROBINDO PHARMA LTD.,524804,INE406A01037,
Equity,AUSTENG,AUSTIN ENGINEERING CO.LTD.,522005,INE759F01012,
Equity,AUTOIND,AUTOLINE INDUSTRIES LTD.,532797,INE718H01014,
Equity,ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$,505036,INE451C01013,
Equity,AUTOPRD,AUTOMOBILE PRODUCTS OF INDIA LTD.,505032,INE0NY101012,
Equity,AUTOAXLES,AUTOMOTIVE AXLES LTD.,505010,INE449A01011,
Equity,ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,520119,INE900C01027,
Equity,AUTOINT,AUTORIDERS INTERNATIONAL LTD.,512277,INE340U01010,
Equity,AVAILFC,AVAILABLE FINANCE LTD.,531310,INE325G01010,
Equity,AVANCE,AVANCE TECHNOLOGIES LTD.,512149,INE758A01072,
Equity,AVANTEL,AVANTEL LTD.,532406,INE005B01027,
Equity,AVANTIFEED,AVANTI FEEDS LTD.-$,512573,INE871C01038,
Equity,AVG,AVG Logistics Ltd,543910,INE680Z01018,
Equity,AVI,AVI Polymers Ltd,539288,INE897N01014,
Equity,AVTNPL,AVT NATURAL PRODUCTS LTD.,519105,INE488D01021,
Equity,AXELPOLY,AXEL POLYMERS LTD.,513642,INE197C01012,
Equity,AXISBANK,AXIS BANK LTD.,532215,INE238A01034,
Equity,AXSENSEX,AXIS S&P BSE SENSEX ETF,543853,INF846K010Q0,
Equity,AXTEL,AXTEL INDUSTRIES LTD.,523850,INE767C01012,
Equity,AYMSYNTEX,AYM Syntex Ltd,508933,INE193B01039,
Equity,AADHARHFC,Aadhar Housing Finance Ltd,544176,INE883F01010,
Equity,AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,539096,INE197R01010,
Equity,AANCHALISP,Aanchal Ispat Ltd,538812,INE322R01014,
Equity,AARSHYAM,Aar Shyam India Investment Company Ltd,542377,INE512R01010,
Equity,AARNAV,Aarnav Fashions Ltd,539562,INE750R01016,
Equity,AARTECH,Aartech Solonics Ltd,542580,INE01C001018,
Equity,AARTIPHARM,Aarti Pharmalabs Ltd,543748,INE0LRU01027,
Equity,AARTISURF,Aarti Surfactants Ltd,543210,INE09EO01013,
Equity,AASHKA,Aashka Hospitals Ltd,543346,INE0EAX01014,
Equity,AASTAFIN,Aastamangalam Finance Ltd,511764,INE819K01014,
Equity,AAYUSH,Aayush Food and Herbs Ltd,539528,INE430R01015,
Equity,ABANSENT,Abans Enterprises Ltd,512165,INE365O01010,
Equity,AHL,Abans Holdings Ltd,543712,INE00ZE01026,
Equity,ABHIJIT,Abhijit Trading Company Ltd,539560,INE994N01019,
Equity,ALFL,Abhinav Leasing & Finance Ltd,538952,INE211D01027,
Equity,ABHIFIN,Abhishek Finlease Ltd,538935,INE723C01015,
Equity,ABHIINFRA,Abhishek Infraventures Ltd,539544,INE281P01016,
Equity,ACCEDERE,Accedere Ltd,531533,INE578B01015,
Equity,ACCEL,Accel Ltd,517494,INE258C01038,
Equity,ACCELERATE,Acceleratebs India Ltd,543938,INE0POP01017,
Equity,ACCELYA,Accelya Solutions India Ltd,532268,INE793A01012,
Equity,ACEMEN,Ace Men Engg Works Ltd,539661,INE023R01018,
Equity,ACHYUT,Achyut Healthcare Ltd,543499,INE0K1401012,
Equity,ACME,Acme Resources Ltd,539391,INE636B01011,
Equity,ACTIVE,Active Clothing Co Ltd,541144,INE380Z01015,
Equity,ADANIENSOL,Adani Energy Solutions Ltd,539254,INE931S01010,
Equity,ADANIGREEN,Adani Green Energy Ltd,541450,INE364U01010,
Equity,ATGL,Adani Total Gas Ltd,542066,INE399L01023,
Equity,AWL,Adani Wilmar Ltd,543458,INE699H01024,
Equity,ADARSH,Adarsh Mercantile Ltd,538563,INE673E01018,
Equity,ADCON,Adcon Capital Services Ltd,539506,INE805Q01028,
Equity,ASRL,Add-Shop ERetail Ltd,541865,INE01B501018,
Equity,ADESHWAR,Adeshwar Meditex Ltd,543309,INE0H8J01015,
Equity,ADHBHUTIN,Adhbhut Infrastructure Ltd,539189,INE578L01014,
Equity,ADHIRAJ,Adhiraj Distributors Ltd,780018,INE067R01015,
Equity,ADISHAKTI,Adishakti Loha and Ispat Ltd,543377,INE0CWK01019,
Equity,ABCAPITAL,Aditya Birla Capital Ltd,540691,INE674K01013,
Equity,ABFRL,Aditya Birla Fashion and Retail Ltd,535755,INE647O01011,
Equity,ABSLAMC,Aditya Birla Sun Life AMC Ltd,543374,INE404A01024,
Equity,MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,543575,INF209KB14K7,
Equity,NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,543574,INF209KB15K4,
Equity,BSLNIFTY,Aditya Birla Sun Life Nifty 50 ETF,543474,INF209KB19D1,
Equity,ABSLBANETF,Aditya Birla Sun Life Nifty Bank ETF,542863,INF209KB17D5,
Equity,HEALTHY,Aditya Birla Sun Life Nifty Healthcare ETF,543473,INF209KB10C2,
Equity,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF,542230,INF209KB16D7,
Equity,BSLSENETFG,Aditya Birla Sun Life S&P BSE Sensex ETF,540008,INF209KB10E8,
Equity,TECH,Aditya Birla Sunlife Nifty IT ETF,543472,INF209KB11D8,
Equity,ACML,Aditya Consumer Marketing Ltd,540146,INE427V01013,
Equity,AVL,Aditya Vision Ltd,540205,INE679V01019,
Equity,ADLINE,Adline Chem Lab Ltd,524604,INE276T01018,
Equity,ADROITINFO,Adroit Infotech Ltd,532172,INE737B01033,
Equity,ADTECH,Adtech Systems Ltd,544185,INE257C01014,
Equity,ADVAIT,Advait Infratech Ltd,543230,INE0ALI01010,
Equity,ADVENZYMES,Advanced Enzyme Technologies Ltd,540025,INE837H01020,
Equity,ADVIKCA,Advik Capital Ltd,539773,INE178T01024,
Equity,AEONXDIGI,Aeonx Digital Technology Ltd,524594,INE994D01010,
Equity,AEROFLEX,Aeroflex Industries Ltd,543972,INE024001021,
Equity,AERPACE,Aerpace Industries Ltd,534733,INE175N01023,
Equity,AETHER,Aether Industries Ltd,543534,INE0BWX01014,
Equity,AFFLE,Affle (India) Ltd,542752,INE00WC01027,
Equity,AFFORDABLE,Affordable Robotic & Automation Ltd,541402,INE692Z01013,
Equity,AGARWAL,Agarwal Fortune India Ltd,530765,INE510B01018,
Equity,AGI,Agi Greenpac Ltd,500187,INE415A01038,
Equity,AGRITECH,Agri- Tech (India) Ltd,537292,INE449G01018,
Equity,AHASOLAR,Ahasolar Technologies Ltd,543941,INE0NEV01011,
Equity,GOLDTECH,Aion-Tech Solutions Ltd,531439,INE805A01014,
Equity,AIRAN,Airan Ltd,543811,INE645W01026,
Equity,AAIL,Akar Auto Industries Ltd,530621,INE864E01021,
Equity,AKSHAR,Akshar Spintex Ltd,541303,INE256Z01025,
Equity,AKZOINDIA,Akzo Nobel India Limited,500710,INE133A01011,
Equity,ALSL,Alacrity Securities Ltd,535916,INE030P01017,
Equity,ALAN SCOTT,Alan Scott Industries Ltd,539115,INE273F01022,
Equity,ALANKIT,Alankit Ltd,531082,INE914E01040,
Equity,ALEXANDER,Alexander Stamps And Coin Ltd,511463,INE191N01012,
Equity,AQFINTECH,Algoquant Fintech Ltd,505725,INE598D01027,
Equity,ALICON,Alicon Castalloy Limited,531147,INE062D01024,
Equity,ALKEM,Alkem Laboratories Ltd,539523,INE540L01014,
Equity,ALKOSIGN,Alkosign Ltd,543453,INE0KA601012,
Equity,ACLGATI,Allcargo Gati Ltd,532345,INE152B01027,
Equity,ATL,Allcargo Terminals Ltd,543954,INE0NN701020,
Equity,ALPHAIND,Alphalogic Industries Ltd,543937,INE0NZF01019,
Equity,ALPHALOGIC,Alphalogic Techsys Ltd,542770,INE08E401029,
Equity,ALSTONE,Alstone Textiles (India) Ltd,539277,INE184S01024,
Equity,AMANAYA,Amanaya Ventures Ltd,543804,INE0G1V01016,
Equity,ARE&M,Amara Raja Energy & Mobility Ltd,500008,INE885A01032,
Equity,AMARSEC,Amarnath Securities Ltd,538465,INE745P01010,
Equity,AEL,Amba Enterprises Ltd,539196,INE829P01020,
Equity,AMBARPIL,Ambar Protein Industries Ltd,519471,INE072V01017,
Equity,AIHL,Ambassador Intra Holdings Ltd,542524,INE342U01016,
Equity,AMBER,Amber Enterprises India Ltd,540902,INE371P01015,
Equity,AMBOAGRI,Ambo Agritec Ltd,543678,INE0N6V01016,
Equity,AMERISE,Amerise Biosciences Ltd,531681,INE673C01020,
Equity,AMIORG,Ami Organics Ltd,543349,INE00FF01017,
Equity,AMIC,Amic Forging Ltd,544037,INE0P9J01013,
Equity,AMINTAN,Amin Tannery Ltd,541771,INE572Z01017,
Equity,AMKAY,Amkay Products Ltd,544169,INE0QSB01016,
Equity,ACFSL,Amrapali Capital and Finance Services Ltd,536737,INE218P01018,
Equity,AMRAFIN,Amrapali Fincap Ltd,539265,INE990S01016,
Equity,ANANDPROJ,Anand Projects Ltd,501630,INE134R01013,
Equity,ANANDRATHI,Anand Rathi Wealth Ltd,543415,INE463V01026,
Equity,ARL,Anand Rayons Ltd,542721,INE02GA01012,
Equity,ANANTRAJ,Anant Raj Limited-$,515055,INE242C01024,
Equity,ANDHRAPAP,Andhra Paper Ltd,502330,INE435A01028,
Equity,ANGEL,Angel Fibers Ltd,541006,INE339Z01011,
Equity,ANGELONE,Angel One Ltd,543235,INE732I01013,
Equity,ANJANIFOODS,Anjani Foods Ltd,511153,INE096I01021,
Equity,ANMOL,Anmol India Ltd,542437,INE02AR01019,
Equity,ANSALHSG,Ansal Housing Ltd-$,507828,INE880B01015,
Equity,ANTARIKSH,Antariksh Industries Ltd,501270,INE825M01017,
Equity,AWHCL,Antony Waste Handling Cell Ltd,543254,INE01BK01022,
Equity,ANUPAM,Anupam Finserv Ltd,530109,INE069B01023,
Equity,ANURAS,Anupam Rasayan India Ltd,543275,INE930P01018,
Equity,ANUROOP,Anuroop Packaging Ltd,542865,INE490Z01012,
Equity,PARKHOTELS,Apeejay Surrendra Park Hotels Ltd,544111,INE988S01028,
Equity,ACFL,Apex Capital And Finance Ltd,541133,INE758W01019,
Equity,APEX,Apex Frozen Foods Ltd,540692,INE346W01013,
Equity,APOLLO,Apollo Micro Systems Ltd,540879,INE713T01028,
Equity,APOLLOPIPE,Apollo Pipes Ltd,531761,INE126J01016,
Equity,APOORVA,Apoorva Leasing Finance and Investment Company Ltd,539545,INE217S01014,
Equity,APTUS,Aptus Value Housing Finance India Ltd,543335,INE852O01025,
Equity,ACI,Archean Chemical Industries Ltd,543657,INE128X01021,
Equity,ADL,Archidply Decor Ltd,543231,INE0CHO01012,
Equity,ARFIN,Arfin India Ltd,539151,INE784R01023,
Equity,ARIGATO,Arigato Universe Ltd,530267,INE021N01011,
Equity,ARIHANTSUP,Arihant Superstructures Limited,506194,INE643K01018,
Equity,ARMAN,Arman Holdings Ltd,538556,INE510P01018,
Equity,ARNOLD,Arnold Holdings Ltd,537069,INE185K01036,
Equity,ARROWGREEN,Arrow Greentech Ltd,516064,INE570D01018,
Equity,ARROWHEAD,Arrowhead Seperation Engineering Ltd,544025,INE0PP401015,
Equity,ARSHIYA,Arshiya Limited,506074,INE968D01022,
Equity,AEPL,Artemis Electricals and Projects Ltd,542670,INE757T01025,
