date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price,qt,amt,remark,note
2022-01-10 00:00:00,VIJI FINANCE LIMITED,285,NSE,EQ,537820,Equity,,,0,00:00:00,SELL,50,5.7,-50,-285,,
2022-01-10 00:00:00,VIJI FINANCE LIMITED,285,NSE,EQ,537820,Equity,,,0,00:00:00,SELL,50,5.7,-50,-285,,
2022-01-11 00:00:00,RELIANCE POWER LTD.,1224,NSE,EQ,532939,Equity,,,0,00:00:00,BUY,80,15.3,80,1224,,
2022-01-11 00:00:00,RELIANCE POWER LTD.,153,NSE,EQ,532939,Equity,,,0,00:00:00,BUY,10,15.3,10,153,,
2022-01-21 00:00:00,ORIENT GREEN POWER CO LTD,2205,NSE,EQ,533263,Equity,,,0,00:00:00,BUY,100,22.05,100,2205,2205,
2022-01-21 00:00:00,ORIENT GREEN POWER CO LTD,2205,NSE,EQ,533263,Equity,,,0,00:00:00,BUY,100,22.05,100,2205,2205,
2022-01-21 00:00:00,TRIDENT LIMITED,649,NSE,EQ,521064,Equity,,,0,00:00:00,BUY,10,64.9,10,649,,
2022-01-24 00:00:00,TATA POWER CO LTD,2279,NSE,EQ,500400,Equity,,,0,00:00:00,BUY,10,227.9,10,2279,,
2022-01-24 00:00:00,VISESH INFOTECNICS LTD,290,NSE,EQ,532411,Equity,,,0,00:00:00,BUY,200,1.45,200,290,,
2022-01-25 00:00:00,BRIGHTCOM GROUP LIMITED,854.5,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,5,170.9,5,854.5,,
2022-01-25 00:00:00,RATTANINDIA ENT LIMITED,536.5,NSE,EQ,534597,Equity,,,0,00:00:00,BUY,10,53.65,10,536.5,,
2022-01-25 00:00:00,RATTANINDIA ENT LIMITED,533.5,NSE,EQ,534597,Equity,,,0,00:00:00,BUY,10,53.35,10,533.5,,
2022-01-25 00:00:00,RELIANCE POWER LTD.,150,NSE,EQ,532939,Equity,,,0,00:00:00,BUY,10,15,10,150,,
2022-01-25 00:00:00,SUZLON ENERGY LIMITED,432,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,40,10.8,40,432,,
2022-01-28 00:00:00,KPIT TECHNOLOGIES LIMITED,6411,NSE,EQ,542651,Equity,,,0,00:00:00,BUY,10,641.1,10,6411,,
2022-01-31 00:00:00,FCS SOFTWARE SOLN. LTD.,1012.5,NSE,EQ,532666,Equity,,,0,00:00:00,BUY,150,6.75,150,1012.5,,
2022-01-31 00:00:00,VIKAS LIFECARE LIMITED,1923.6,NSE,EQ,542655,Equity,,,0,00:00:00,BUY,300,6.41,300,1923.6,,
2022-02-01 00:00:00,GRAVITA INDIA LIMITED,3714.5,NSE,EQ,533282,Equity,,,0,00:00:00,BUY,10,371.45,10,3714.5,,
2022-02-01 00:00:00,HFCL LIMITED,424.75,NSE,EQ,500183,Equity,,,0,00:00:00,BUY,5,84.95,5,424.75,,
2022-02-04 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,0,NSE,EQ,512359,Equity,,,0,00:00:00,BUY,200,0,200,0,New shares credit from Bonus,
2022-02-04 00:00:00,SWORD-EDGE COMMERCIALS LIMITED,0,NSE,EQ,512359,Equity,,,0,00:00:00,BUY,200,0,200,0,New shares credit from Bonus,
2022-02-08 00:00:00,YAMINI INVESTMENTS COMPANY LTD,236,NSE,EQ,511012,Equity,,,0,00:00:00,SELL,100,2.36,-100,-236,,
2022-02-11 00:00:00,BRIGHTCOM GROUP LIMITED,316.1,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,2,158.05,2,316.1,,
2022-02-11 00:00:00,CRESSANDA SOLUTIONS LTD.,151.05,NSE,EQ,512379,Equity,,,0,00:00:00,SELL,19,7.95,-19,-151.05,,
2022-02-11 00:00:00,CRESSANDA SOLUTIONS LTD.,7.95,NSE,EQ,512379,Equity,,,0,00:00:00,SELL,1,7.95,-1,-7.95,,
2022-02-11 00:00:00,CRESSANDA SOLUTIONS LTD.,1590,NSE,EQ,512379,Equity,,,0,00:00:00,SELL,200,7.95,-200,-1590,,
2022-02-11 00:00:00,CRESSANDA SOLUTIONS LTD.,79.5,NSE,EQ,512379,Equity,,,0,00:00:00,SELL,10,7.95,-10,-79.5,,
