datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2022-01-24 15:26:07,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,909.5,10.0,90.95,
2022-01-24 15:27:53,NSE,EQ,TATAMOTORS,TATA MOTORS,BUY,954.1,2.0,477.05,
2022-01-25 00:00:00,NSE,EQ,RPOWER,RELIANCE POWER LTD.,BUY,150.0,10.0,15.0,
2022-01-25 00:00:00,NSE,EQ,RTNINDIA,RATTANINDIA ENT LIMITED,BUY,533.5,10.0,53.35,
2022-01-25 00:00:00,NSE,EQ,RTNINDIA,RATTANINDIA ENT LIMITED,BUY,536.5,10.0,53.65,
2022-01-25 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LIMITED,BUY,432.0,40.0,10.8,
2022-01-25 11:54:40,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,1981.0,20.0,99.05,
2022-01-25 11:56:08,NSE,EQ,TATAMOTORS,TATA MOTORS,BUY,3870.4,8.0,483.8,
2022-01-27 10:06:18,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,3732.0,40.0,93.3,
2022-01-27 14:20:07,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,455.75,5.0,91.15,
2022-01-27 14:21:01,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,273.0,3.0,91.0,
2022-01-28 00:00:00,NSE,EQ,KPITTECH,KPIT TECHNOLOGIES LIMITED,BUY,6411.0,10.0,641.1,
2022-01-31 00:00:00,NSE,EQ,FCSSOFT,FCS SOFTWARE SOLN. LTD.,BUY,1012.5,150.0,6.75,
2022-01-31 00:00:00,NSE,EQ,VIKASLIFE,VIKAS LIFECARE LIMITED,BUY,1923.0,300.0,6.41,
2022-02-01 00:00:00,NSE,EQ,GRAVITA,GRAVITA INDIA LIMITED,BUY,3714.5,10.0,371.45,
2022-02-01 00:00:00,NSE,EQ,HFCL,HFCL LIMITED,BUY,424.75,5.0,84.95,
2022-02-07 00:00:00,NSE,EQ,AWL,ADANI WILMAR LIMITED,BUY,14950.0,65.0,230.0,
2022-02-08 00:00:00,NSE,EQ,YAMNINV,YAMINI INVESTMENTS COMPANY LTD,SELL,236.0,100.0,2.36,
2022-02-10 15:26:49,NSE,EQ,AWL,ADANI WILMAR LIMITED,SELL,9656.25,25.0,386.25,
2022-02-11 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,SELL,1987.5,250.0,7.95,
2022-02-16 00:00:00,NSE,EQ,RAGHUSYN,RAGHUVIR SYNTHETICS LTD.,BUY,225.95,1.0,225.95,
2022-02-16 09:25:10,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,169.7,2.0,84.85,
2022-02-21 00:00:00,NSE,EQ,RPOWER,RELIANCE POWER LTD.,SELL,1400.0,100.0,14.0,
2022-02-28 00:00:00,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,SELL,126.2,10.0,12.62,
2022-02-28 00:00:00,NSE,EQ,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,SELL,12503.7,990.0,12.63,
2022-03-10 10:11:26,FON,FO,BANKNIFTY,BANKNIFTY-CE-35100-10MAR2022,BUY,6000.0,25.0,240.0,2022-03-10
2022-03-10 10:26:18,FON,FO,BANKNIFTY,BANKNIFTY-CE-35100-10MAR2022,SELL,8521.25,25.0,340.85,2022-03-10
2022-03-10 15:08:05,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,BUY,350.0,25.0,14.0,2022-03-10
2022-03-10 15:12:27,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,SELL,700.0,25.0,28.0,2022-03-10
2022-03-10 15:15:29,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,BUY,275.0,25.0,11.0,2022-03-10
2022-03-10 15:23:44,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,SELL,20.0,25.0,0.8,2022-03-10
2022-03-17 00:00:00,NSE,EQ,CRESSAN,CRESSANDA SOLUTIONS LTD.,SELL,320.75,25.0,12.83,
2022-03-17 10:10:13,FON,FO,BANKNIFTY,BANKNIFTY-CE-36500-17MAR2022,BUY,4375.0,25.0,175.0,2022-03-17
2022-03-17 10:58:04,FON,FO,BANKNIFTY,BANKNIFTY-CE-36500-17MAR2022,SELL,3875.0,25.0,155.0,2022-03-17
2022-03-21 10:06:33,FON,FO,NIFTY,NIFTY-PE-17250-24MAR2022,BUY,9000.0,50.0,180.0,2022-03-24
2022-03-21 10:50:08,FON,FO,NIFTY,NIFTY-PE-17250-24MAR2022,SELL,9250.0,50.0,185.0,2022-03-24
2022-03-24 11:14:46,FON,FO,NIFTY,NIFTY-CE-17250-24MAR2022,BUY,3550.0,50.0,71.0,2022-03-24
2022-03-24 11:54:25,FON,FO,NIFTY,NIFTY-CE-17250-24MAR2022,SELL,2250.0,50.0,45.0,2022-03-24
2022-03-24 13:35:11,FON,FO,NIFTY,NIFTY-CE-17200-24MAR2022,BUY,2150.0,50.0,43.0,2022-03-24
2022-03-24 13:47:50,FON,FO,NIFTY,NIFTY-CE-17200-24MAR2022,SELL,1250.0,50.0,25.0,2022-03-24
2022-04-28 13:46:25,FON,FO,BANKNIFTY,BANKNIFTY-CE-36300-28APR2022,BUY,2650.0,25.0,106.0,2022-04-28
2022-04-28 14:25:55,FON,FO,BANKNIFTY,BANKNIFTY-CE-36300-28APR2022,SELL,3036.25,25.0,121.45,2022-04-28
2022-05-02 12:15:14,FON,FO,NIFTY,NIFTY-CE-17000-05MAY2022,BUY,7450.0,50.0,149.0,2022-05-05
2022-05-02 12:47:57,FON,FO,NIFTY,NIFTY-CE-17000-05MAY2022,SELL,7000.0,50.0,140.0,2022-05-05
2022-05-02 13:12:00,FON,FO,NIFTY,NIFTY-CE-17000-05MAY2022,BUY,7500.0,50.0,150.0,2022-05-05
2022-05-02 14:30:31,FON,FO,NIFTY,NIFTY-CE-17000-05MAY2022,SELL,6500.0,50.0,130.0,2022-05-05
2022-05-02 15:02:29,FON,FO,NIFTY,NIFTY-CE-17050-05MAY2022,BUY,7000.0,50.0,140.0,2022-05-05
2022-05-02 15:11:54,FON,FO,NIFTY,NIFTY-CE-17050-05MAY2022,SELL,7250.0,50.0,145.0,2022-05-05
2022-05-05 10:25:58,FON,FO,BANKNIFTY,BANKNIFTY-CE-35800-05MAY2022,BUY,3106.25,25.0,124.25,2022-05-05
2022-05-05 11:33:12,FON,FO,BANKNIFTY,BANKNIFTY-CE-35800-05MAY2022,SELL,2825.0,25.0,113.0,2022-05-05
2022-05-05 11:52:15,FON,FO,BANKNIFTY,BANKNIFTY-PE-35700-05MAY2022,BUY,3950.0,50.0,79.0,2022-05-05
2022-05-05 11:55:14,FON,FO,BANKNIFTY,BANKNIFTY-PE-35700-05MAY2022,SELL,4400.0,50.0,88.0,2022-05-05
2022-05-05 12:02:01,FON,FO,BANKNIFTY,BANKNIFTY-PE-35700-05MAY2022,BUY,6400.0,50.0,128.0,2022-05-05
