datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2021-12-23 00:00:00,NSE,EQ,PNB,PUNJAB NATIONAL BANK,SELL,75.9,2,37.95,
2021-12-21 00:00:00,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD.,BUY,104.0,20,5.2,
2021-12-22 00:00:00,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD.,BUY,49.5,10,4.95,
2021-12-22 00:00:00,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD.,BUY,50.0,10,5.0,
2021-12-29 00:00:00,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD.,BUY,302.5,50,6.05,
2021-12-29 00:00:00,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD.,BUY,922.5,150,6.15,
2023-11-23 00:00:00,NSE,EQ,PRAKASHSTL,PRAKASH STEELAGE LTD.,SELL,1650.0,300,5.5,
2022-02-16 00:00:00,NSE,EQ,RAGHUSYN,RAGHUVIR SYNTHETICS LTD.,BUY,225.95,1,225.95,
2022-01-11 00:00:00,NSE,EQ,RPOWER,RELIANCE POWER LTD.,BUY,1377.0,90,15.3,
2022-01-25 00:00:00,NSE,EQ,RPOWER,RELIANCE POWER LTD.,BUY,150.0,10,15.0,
2022-02-21 00:00:00,NSE,EQ,RPOWER,RELIANCE POWER LTD.,SELL,1400.0,100,14.0,
2021-12-27 00:00:00,NSE,EQ,RTNINDIA,Rattanindia Enterprises Ltd,BUY,460.0,10,46.0,
2021-12-29 00:00:00,NSE,EQ,RTNINDIA,Rattanindia Enterprises Ltd,BUY,1924.0,40,48.1,
2022-01-04 00:00:00,NSE,EQ,RTNINDIA,Rattanindia Enterprises Ltd,BUY,1032.0,20,51.6,
2022-01-25 00:00:00,NSE,EQ,RTNINDIA,Rattanindia Enterprises Ltd,BUY,533.5,10,53.35,
2022-01-25 00:00:00,NSE,EQ,RTNINDIA,Rattanindia Enterprises Ltd,BUY,536.5,10,53.65,
2021-12-29 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,337.5,50,6.75,
2022-01-03 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,382.5,50,7.65,
2022-01-03 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,770.0,100,7.7,
2022-01-06 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,43.8,6,7.3,
2022-01-06 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,2220.0,300,7.4,
2022-01-07 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,700.3,94,7.45,
2022-01-07 00:00:00,NSE,EQ,RTNPOWER,RattanIndia Power Limited,BUY,750.0,100,7.5,
