Date,Open,High,Low,Close,Adj Close,Volume
2021-05-07,159.399994,159.399994,155.199997,158.529999,158.529999,1347683
2021-05-10,160.399994,160.399994,158.550003,159.690002,159.690002,1811054
2021-05-11,159.199997,159.309998,157.740005,158.940002,158.940002,1280124
2021-05-12,161.899994,161.899994,157.240005,157.690002,157.690002,1450842
2021-05-14,158.990005,169.000000,156.570007,157.470001,157.470001,1800545
2021-05-17,155.600006,159.720001,155.600006,159.520004,159.520004,1344415
2021-05-18,161.899994,161.899994,160.000000,161.369995,161.369995,1913546
2021-05-19,161.369995,162.899994,160.000000,160.669998,160.669998,1259712
2021-05-20,169.000000,169.000000,159.410004,159.639999,159.639999,1095072
2021-05-21,174.899994,174.899994,159.750000,162.100006,162.100006,1585589
2021-05-24,170.000000,170.000000,161.309998,162.429993,162.429993,1408268
2021-05-25,178.880005,178.880005,162.009995,162.529999,162.529999,1045055
2021-05-26,170.000000,170.000000,150.800003,163.460007,163.460007,1121397
2021-05-27,170.000000,170.000000,162.229996,164.119995,164.119995,1459534
2021-05-28,168.899994,168.899994,164.000000,165.020004,165.020004,1536434
2021-05-31,179.000000,179.000000,155.100006,166.789993,166.789993,1664143
2021-06-01,179.000000,179.000000,166.419998,166.880005,166.880005,1595004
2021-06-02,166.750000,167.600006,164.410004,167.289993,167.289993,932798
2021-06-03,167.300003,177.699997,167.300003,168.169998,168.169998,1011967
2021-06-04,174.899994,174.899994,159.000000,168.149994,168.149994,1058387
2021-06-07,174.399994,174.399994,168.149994,168.630005,168.630005,1733382
2021-06-08,169.639999,169.639999,167.199997,168.570007,168.570007,695044
2021-06-09,174.399994,174.399994,159.300003,167.589996,167.589996,1198930
2021-06-10,174.389999,174.389999,165.050003,168.600006,168.600006,687667
2021-06-11,173.899994,173.899994,167.199997,169.330002,169.330002,1395622
2021-06-14,174.880005,174.880005,166.300003,169.559998,169.559998,1875312
2021-06-15,173.979996,174.399994,169.000000,170.270004,170.270004,720652
2021-06-16,173.940002,174.399994,169.300003,169.690002,169.690002,1152832
2021-06-17,179.000000,179.000000,168.100006,168.789993,168.789993,1063422
2021-06-18,168.860001,169.800003,166.449997,168.669998,168.669998,1658740
2021-06-21,168.000000,169.389999,166.500000,169.070007,169.070007,1931684
2021-06-22,183.479996,183.479996,169.100006,169.410004,169.410004,1140000
2021-06-23,173.800003,173.800003,168.500000,168.679993,168.679993,1054283
2021-06-24,184.880005,184.880005,168.100006,169.679993,169.679993,868516
2021-06-25,170.679993,170.679993,165.000000,170.399994,170.399994,1087315
2021-06-28,170.399994,173.500000,169.800003,169.850006,169.850006,1404615
2021-06-29,184.429993,184.429993,166.660004,169.330002,169.330002,1121228
2021-06-30,173.350006,173.350006,160.149994,169.130005,169.130005,846600
2021-07-01,173.449997,173.449997,168.509995,168.919998,168.919998,1040915
2021-07-02,171.850006,171.850006,167.550003,169.339996,169.339996,843371
2021-07-05,172.399994,173.880005,166.500000,170.130005,170.130005,1200342
2021-07-06,170.899994,171.000000,168.750000,170.169998,170.169998,949072
2021-07-07,172.250000,172.250000,169.139999,170.460007,170.460007,715925
2021-07-08,172.199997,180.699997,169.020004,169.470001,169.470001,1285484
2021-07-09,173.399994,173.399994,168.500000,169.070007,169.070007,1420007
2021-07-12,176.389999,176.389999,165.169998,169.039993,169.039993,842741
2021-07-13,172.850006,172.850006,169.250000,170.169998,170.169998,607828
2021-07-14,172.350006,172.350006,166.550003,170.600006,170.600006,699257
2021-07-15,184.899994,184.899994,169.500000,171.279999,171.279999,765208
2021-07-16,173.199997,173.199997,151.699997,171.410004,171.410004,610263
2021-07-19,174.940002,174.940002,169.020004,169.770004,169.770004,1366502
2021-07-20,184.830002,184.830002,167.960007,168.539993,168.539993,2191600
2021-07-22,172.600006,172.600006,168.809998,170.360001,170.360001,895788
2021-07-23,172.779999,172.779999,166.050003,170.570007,170.570007,997334
2021-07-26,174.839996,174.839996,169.100006,170.279999,170.279999,1124977
2021-07-27,174.740005,174.740005,169.240005,169.679993,169.679993,1005585
2021-07-28,172.550003,172.550003,167.399994,169.339996,169.339996,1800475
2021-07-29,170.250000,170.949997,168.449997,169.949997,169.949997,553884
2021-07-30,179.899994,179.899994,135.509995,169.690002,169.690002,991454
