Scrip Name,ISIN No,ISIN Reinvestment,Instrument Type
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),,INF205K01KS6,Mutual Fund
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),INF205K01KU2,INF205K01KV0,Mutual Fund
Invesco India Banking and PSU Fund - Growth Option,INF205K01JV2,,Mutual Fund
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),INF205K01JW0,INF205K01JY6,Mutual Fund
ITI Mutual Fund,,,Mutual Fund
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,INF00XX01861,,Mutual Fund
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,INF00XX01879,INF00XX01887,Mutual Fund
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,INF00XX01838,,Mutual Fund
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,INF00XX01846,INF00XX01853,Mutual Fund
Kotak Mahindra Mutual Fund,,,Mutual Fund
Kotak Banking and PSU Debt - Annual Dividend,INF174K01FS4,INF174K01FR6,Mutual Fund
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,,INF174K01SD9,Mutual Fund
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,INF174K01SE7,,Mutual Fund
Kotak Banking and PSU Debt - Growth,INF174K01FO3,,Mutual Fund
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01FQ8,INF174K01FP0,Mutual Fund
Kotak Banking and PSU Debt Direct - Annual Dividend,INF174K01KI5,INF174K01KJ3,Mutual Fund
Kotak Banking and PSU Debt Direct - Growth,INF174K01KH7,,Mutual Fund
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,INF174K01KK1,,Mutual Fund
LIC Mutual Fund,,,Mutual Fund
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,INF767K01GJ2,INF767K01GM6,Mutual Fund
LIC MF Banking & PSU Fund-Direct Plan-Growth,INF767K01GI4,,Mutual Fund
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,INF767K01GK0,INF767K01GN4,Mutual Fund
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,INF767K01GL8,INF767K01GO2,Mutual Fund
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,INF767K01519,INF767K01527,Mutual Fund
LIC MF Banking & PSU Fund-Regular Plan-Growth,INF767K01535,,Mutual Fund
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,INF767K01543,INF767K01550,Mutual Fund
