date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,close,current_value
2020-11-08,EQ,PNB,30.0,32.95,988.5,26.49,794.7
2020-11-09,EQ,PNB,30.0,32.95,988.5,27.31,819.3
2020-11-10,EQ,PNB,30.0,32.95,988.5,28.26,847.8
2020-11-11,EQ,PNB,30.0,32.95,988.5,27.93,837.9
2020-11-12,EQ,PNB,30.0,32.95,988.5,27.78,833.4
2020-11-13,EQ,PNB,30.0,32.95,988.5,28.16,844.8
2020-11-14,EQ,PNB,30.0,32.95,988.5,28.26,847.8
2020-11-15,EQ,PNB,30.0,32.95,988.5,28.26,847.8
2020-11-16,EQ,PNB,30.0,32.95,988.5,28.26,847.8
2020-11-17,EQ,PNB,30.0,32.95,988.5,28.5,855.0
2020-11-18,EQ,PNB,30.0,32.95,988.5,29.45,883.5
2020-11-19,EQ,PNB,30.0,32.95,988.5,28.64,859.2
2020-11-20,EQ,PNB,30.0,32.95,988.5,28.45,853.5
2020-11-21,EQ,PNB,30.0,32.95,988.5,28.45,853.5
2020-11-22,EQ,PNB,30.0,32.95,988.5,28.45,853.5
2020-11-23,EQ,PNB,30.0,32.95,988.5,28.69,860.7
2020-11-24,EQ,PNB,30.0,32.95,988.5,29.02,870.6
2020-11-25,EQ,PNB,30.0,32.95,988.5,29.93,897.9
2020-11-26,EQ,PNB,30.0,32.95,988.5,30.6,918.0
2020-11-27,EQ,PNB,30.0,32.95,988.5,31.94,958.2
2020-11-28,EQ,PNB,30.0,32.95,988.5,31.94,958.2
2020-11-29,EQ,PNB,30.0,32.95,988.5,31.94,958.2
2020-11-30,EQ,PNB,30.0,32.95,988.5,31.94,958.2
2020-12-01,EQ,PNB,30.0,32.95,988.5,32.89,986.7
2020-12-02,EQ,PNB,30.0,32.95,988.5,32.41,972.3
2020-12-03,EQ,PNB,30.0,32.95,988.5,34.18,1025.4
2020-12-04,EQ,PNB,30.0,32.95,988.5,34.04,1021.2
2020-12-05,EQ,PNB,30.0,32.95,988.5,34.04,1021.2
2020-12-06,EQ,PNB,30.0,32.95,988.5,34.04,1021.2
2020-12-07,EQ,PNB,30.0,32.95,988.5,34.13,1023.9
2020-12-08,EQ,PNB,30.0,32.95,988.5,38.76,1162.8
2020-12-09,EQ,PNB,30.0,32.95,988.5,37.62,1128.6
2020-12-10,EQ,PNB,30.0,32.95,988.5,36.66,1099.8
2020-12-11,EQ,PNB,30.0,32.95,988.5,38.67,1160.1
2020-12-12,EQ,PNB,30.0,32.95,988.5,38.67,1160.1
2020-12-13,EQ,PNB,30.0,32.95,988.5,38.67,1160.1
2020-12-14,EQ,PNB,30.0,32.95,988.5,39.38,1181.4
2020-12-15,EQ,PNB,30.0,32.95,988.5,38.76,1162.8
2020-12-16,EQ,PNB,30.0,32.95,988.5,36.23,1086.9
2020-12-17,EQ,PNB,30.0,32.95,988.5,35.33,1059.9
2020-12-18,EQ,PNB,30.0,32.95,988.5,34.9,1047.0
2020-12-19,EQ,PNB,30.0,32.95,988.5,34.9,1047.0
2020-12-20,EQ,PNB,30.0,32.95,988.5,34.9,1047.0
2020-12-21,EQ,PNB,30.0,32.95,988.5,32.56,976.8
2020-12-22,EQ,PNB,30.0,32.95,988.5,31.89,956.7
2020-12-23,EQ,PNB,30.0,32.95,988.5,30.36,910.8
2020-12-24,EQ,PNB,30.0,32.95,988.5,30.03,900.9
2020-12-25,EQ,PNB,30.0,32.95,988.5,30.03,900.9
2020-12-26,EQ,PNB,30.0,32.95,988.5,30.03,900.9
2020-12-27,EQ,PNB,30.0,32.95,988.5,30.03,900.9
2020-12-28,EQ,PNB,30.0,32.95,988.5,30.93,927.9
2020-12-29,EQ,PNB,30.0,32.95,988.5,31.7,951.0
2020-12-30,EQ,PNB,30.0,32.95,988.5,31.27,938.1
2020-12-31,EQ,PNB,30.0,32.95,988.5,31.55,946.5
2021-01-01,EQ,PNB,30.0,32.95,988.5,33.22,996.6
2021-01-02,EQ,PNB,30.0,32.95,988.5,33.22,996.6
2021-01-03,EQ,PNB,30.0,32.95,988.5,33.22,996.6
2021-01-04,EQ,PNB,30.0,32.95,988.5,33.94,1018.2
2021-01-05,EQ,PNB,30.0,32.95,988.5,33.99,1019.7
2021-01-06,EQ,PNB,30.0,32.95,988.5,33.61,1008.3
2021-01-07,EQ,PNB,30.0,32.95,988.5,33.85,1015.5
2021-01-08,EQ,PNB,30.0,32.95,988.5,33.8,1014.0
2021-01-09,EQ,PNB,30.0,32.95,988.5,33.8,1014.0
2021-01-10,EQ,PNB,30.0,32.95,988.5,33.8,1014.0
2021-01-11,EQ,PNB,30.0,32.95,988.5,33.32,999.6
2021-01-12,EQ,PNB,30.0,32.95,988.5,34.85,1045.5
2021-01-13,EQ,PNB,30.0,32.95,988.5,34.94,1048.2
2021-01-14,EQ,PNB,30.0,32.95,988.5,35.33,1059.9
2021-01-15,EQ,PNB,30.0,32.95,988.5,34.32,1029.6
2021-01-16,EQ,PNB,30.0,32.95,988.5,34.32,1029.6
2021-01-17,EQ,PNB,30.0,32.95,988.5,34.32,1029.6
2021-01-18,EQ,PNB,30.0,32.95,988.5,33.85,1015.5
2021-01-19,EQ,PNB,30.0,32.95,988.5,34.85,1045.5
2021-01-20,EQ,PNB,30.0,32.95,988.5,35.28,1058.4
2021-01-21,EQ,PNB,30.0,32.95,988.5,34.04,1021.2
2021-01-22,EQ,PNB,30.0,32.95,988.5,32.99,989.7
2021-01-23,EQ,PNB,30.0,32.95,988.5,32.99,989.7
2021-01-24,EQ,PNB,30.0,32.95,988.5,32.99,989.7
2021-01-25,EQ,PNB,30.0,32.95,988.5,32.6,978.0
2021-01-26,EQ,PNB,30.0,32.95,988.5,32.6,978.0
2021-01-27,EQ,PNB,30.0,32.95,988.5,31.84,955.2
2021-01-28,EQ,PNB,30.0,32.95,988.5,31.08,932.4
2021-01-29,EQ,PNB,30.0,32.95,988.5,31.84,955.2
2021-01-30,EQ,PNB,30.0,32.95,988.5,31.84,955.2
2021-01-31,EQ,PNB,30.0,32.95,988.5,31.84,955.2
2021-02-01,EQ,PNB,30.0,32.95,988.5,34.13,1023.9
2021-02-02,EQ,PNB,30.0,32.95,988.5,34.56,1036.8
2021-02-03,EQ,PNB,30.0,32.95,988.5,36.61,1098.3
2021-02-04,EQ,PNB,30.0,32.95,988.5,38.67,1160.1
2021-02-05,EQ,PNB,30.0,32.95,988.5,38.33,1149.9
2021-02-06,EQ,PNB,30.0,32.95,988.5,38.33,1149.9
2021-02-07,EQ,PNB,30.0,32.95,988.5,38.33,1149.9
2021-02-08,EQ,PNB,30.0,32.95,988.5,36.28,1088.4
2021-02-09,EQ,PNB,30.0,32.95,988.5,37.28,1118.4
2021-02-10,EQ,PNB,30.0,32.95,988.5,37.66,1129.8
2021-02-11,EQ,PNB,30.0,32.95,988.5,37.0,1110.0
2021-02-12,EQ,PNB,30.0,32.95,988.5,37.04,1111.2
2021-02-13,EQ,PNB,30.0,32.95,988.5,37.04,1111.2
2021-02-14,EQ,PNB,30.0,32.95,988.5,37.04,1111.2
2021-02-15,EQ,PNB,30.0,32.95,988.5,37.76,1132.8
2021-02-16,EQ,PNB,30.0,32.95,988.5,37.71,1131.3
2021-02-17,EQ,PNB,30.0,32.95,988.5,39.81,1194.3
2021-02-18,EQ,PNB,30.0,32.95,988.5,41.82,1254.6
2021-02-19,EQ,PNB,30.0,32.95,988.5,40.15,1204.5
2021-02-20,EQ,PNB,30.0,32.95,988.5,40.15,1204.5
2021-02-21,EQ,PNB,30.0,32.95,988.5,40.15,1204.5
2021-02-22,EQ,PNB,30.0,32.95,988.5,39.19,1175.7
2021-02-23,EQ,PNB,30.0,32.95,988.5,39.14,1174.2
2021-02-24,EQ,PNB,30.0,32.95,988.5,39.91,1197.3
2021-02-25,EQ,PNB,30.0,32.95,988.5,40.0,1200.0
2021-02-26,EQ,PNB,30.0,32.95,988.5,39.0,1170.0
2021-02-27,EQ,PNB,30.0,32.95,988.5,39.0,1170.0
2021-02-28,EQ,PNB,30.0,32.95,988.5,39.0,1170.0
2021-03-01,EQ,PNB,30.0,32.95,988.5,38.95,1168.5
2021-03-02,EQ,PNB,30.0,32.95,988.5,39.14,1174.2
2021-03-03,EQ,PNB,30.0,32.95,988.5,41.58,1247.4
2021-03-04,EQ,PNB,30.0,32.95,988.5,41.63,1248.9
2021-03-05,EQ,PNB,30.0,32.95,988.5,39.81,1194.3
2021-03-06,EQ,PNB,30.0,32.95,988.5,39.81,1194.3
2021-03-07,EQ,PNB,30.0,32.95,988.5,39.81,1194.3
2021-03-08,EQ,PNB,30.0,32.95,988.5,39.86,1195.8
2021-03-09,EQ,PNB,30.0,32.95,988.5,39.72,1191.6
2021-03-10,EQ,PNB,30.0,32.95,988.5,39.62,1188.6
2021-03-11,EQ,PNB,30.0,32.95,988.5,39.62,1188.6
2021-03-12,EQ,PNB,30.0,32.95,988.5,39.19,1175.7
2021-03-13,EQ,PNB,30.0,32.95,988.5,39.19,1175.7
2021-03-14,EQ,PNB,30.0,32.95,988.5,39.19,1175.7
2021-03-15,EQ,PNB,30.0,32.95,988.5,38.95,1168.5
2021-03-16,EQ,PNB,30.0,32.95,988.5,38.0,1140.0
2021-03-17,EQ,PNB,30.0,32.95,988.5,36.66,1099.8
2021-03-18,EQ,PNB,30.0,32.95,988.5,35.99,1079.7
2021-03-19,EQ,PNB,30.0,32.95,988.5,36.71,1101.3
2021-03-20,EQ,PNB,30.0,32.95,988.5,36.71,1101.3
2021-03-21,EQ,PNB,30.0,32.95,988.5,36.71,1101.3
2021-03-22,EQ,PNB,30.0,32.95,988.5,36.23,1086.9
2021-03-23,EQ,PNB,30.0,32.95,988.5,37.0,1110.0
2021-03-24,EQ,PNB,30.0,32.95,988.5,35.33,1059.9
2021-03-25,EQ,PNB,30.0,32.95,988.5,33.89,1016.7
2021-03-26,EQ,PNB,30.0,32.95,988.5,34.37,1031.1
2021-03-27,EQ,PNB,30.0,32.95,988.5,34.37,1031.1
2021-03-28,EQ,PNB,30.0,32.95,988.5,34.37,1031.1
2021-03-29,EQ,PNB,30.0,32.95,988.5,34.37,1031.1
2021-03-30,EQ,PNB,30.0,32.95,988.5,34.51,1035.3
2021-03-31,EQ,PNB,30.0,32.95,988.5,34.99,1049.7
2021-04-01,EQ,PNB,30.0,32.95,988.5,36.47,1094.1
2021-04-02,EQ,PNB,30.0,32.95,988.5,36.47,1094.1
2021-04-03,EQ,PNB,30.0,32.95,988.5,36.47,1094.1
2021-04-04,EQ,PNB,30.0,32.95,988.5,36.47,1094.1
2021-04-05,EQ,PNB,30.0,32.95,988.5,35.28,1058.4
2021-04-06,EQ,PNB,30.0,32.95,988.5,35.37,1061.1
