date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2023-12-29,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,328.88,49332.0,334.3,50145.0,324.6,48690.0,330.52,49578.0
2023-12-30,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,751.79,75179.0,797.66,79766.0,749.26,74926.0,775.94,77594.0
2023-12-30,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,328.88,49332.0,334.3,50145.0,324.6,48690.0,330.52,49578.0
2023-12-31,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,751.79,75179.0,797.66,79766.0,749.26,74926.0,775.94,77594.0
2023-12-31,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,328.88,49332.0,334.3,50145.0,324.6,48690.0,330.52,49578.0
2024-01-01,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,781.86,78186.0,793.59,79359.0,776.59,77659.0,785.63,78563.0
2024-01-01,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,333.11,49966.5,334.25,50137.5,326.79,49018.5,328.43,49264.5
2024-01-02,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,795.72,79572.0,799.05,79905.0,774.35,77435.0,779.72,77972.0
2024-01-02,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,330.42,49563.0,330.92,49638.0,318.33,47749.5,328.13,49219.5
2024-01-03,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,781.16,78116.0,785.14,78514.0,771.42,77142.0,776.54,77654.0
2024-01-03,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,328.13,49219.5,328.13,49219.5,323.4,48510.0,324.9,48735.0
2024-01-04,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,792.34,79234.0,796.91,79691.0,786.48,78648.0,790.75,79075.0
2024-01-04,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,325.49,48823.5,339.13,50869.5,325.49,48823.5,336.14,50421.0
2024-01-05,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,795.08,79508.0,800.89,80089.0,782.35,78235.0,785.68,78568.0
2024-01-05,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,338.18,50727.0,348.04,52206.0,334.8,50220.0,339.13,50869.5
2024-01-06,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,795.08,79508.0,800.89,80089.0,782.35,78235.0,785.68,78568.0
2024-01-06,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,338.18,50727.0,348.04,52206.0,334.8,50220.0,339.13,50869.5
2024-01-07,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,795.08,79508.0,800.89,80089.0,782.35,78235.0,785.68,78568.0
2024-01-07,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,338.18,50727.0,348.04,52206.0,334.8,50220.0,339.13,50869.5
2024-01-08,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,793.93,79393.0,795.23,79523.0,782.75,78275.0,784.19,78419.0
2024-01-08,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,343.56,51534.0,343.56,51534.0,335.94,50391.0,337.24,50586.0
2024-01-09,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,794.18,79418.0,804.02,80402.0,788.81,78881.0,794.58,79458.0
2024-01-09,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,340.42,51063.0,343.26,51489.0,336.64,50496.0,338.53,50779.5
2024-01-10,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,794.88,79488.0,805.76,80576.0,787.92,78792.0,803.28,80328.0
2024-01-10,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,340.97,51145.5,347.09,52063.5,339.28,50892.0,344.9,51735.0
