date,holding_amount,open_amount,high_amount,low_amount,close_amount
2022-01-25,59061.4,80755.84,84044.68,79640.94,83584.09
2022-01-26,59061.4,80755.84,84044.68,79640.94,83584.09
2022-01-27,59061.4,82528.34,84683.53,81294.3,83857.29
2022-01-28,59061.4,84821.65,86838.27,84091.8,84865.17
2022-01-29,59061.4,84821.65,86838.27,84091.8,84865.17
2022-01-30,59061.4,84821.65,86838.27,84091.8,84865.17
2022-01-31,59061.4,86170.91,87533.51,84925.18,86482.83
2022-02-01,59061.4,86323.45,87852.65,84254.84,86085.88
2022-02-02,59061.4,86802.34,87900.15,86140.82,86733.76
2022-02-03,59061.4,86912.84,87986.68,86137.13,86747.91
2022-02-04,59061.4,86894.48,87745.46,86088.4,86552.5
2022-02-05,59061.4,86894.48,87745.46,86088.4,86552.5
2022-02-06,59061.4,86894.48,87745.46,86088.4,86552.5
2022-02-07,59061.4,86897.91,87284.5,85271.52,85741.83
2022-02-08,59061.4,86119.67,86494.63,81967.03,83403.98
2022-02-09,59061.4,84003.4,85572.16,83357.34,85056.65
2022-02-10,59061.4,85552.08,86549.62,84529.29,85656.24
2022-02-11,59061.4,85309.89,85935.29,82657.49,83172.2
2022-02-12,59061.4,85309.89,85935.29,82657.49,83172.2
2022-02-13,59061.4,85309.89,85935.29,82657.49,83172.2
2022-02-14,59061.4,81210.82,81802.54,78699.23,79529.14
2022-02-15,59061.4,80145.05,83565.29,78623.92,83239.45
2022-02-16,59061.4,83784.56,84603.24,82448.66,83029.56
2022-02-17,59061.4,83759.77,84408.98,82265.7,82603.7
2022-02-18,59061.4,82266.61,83322.86,81475.95,81937.08
2022-02-19,59061.4,82266.61,83322.86,81475.95,81937.08
2022-02-20,59061.4,82266.61,83322.86,81475.95,81937.08
2022-02-21,59061.4,81579.24,82681.81,80645.17,81622.98
2022-02-22,59061.4,79254.12,80983.64,78405.84,79969.42
2022-02-23,59061.4,80665.4,81291.36,79409.98,79697.24
2022-02-24,59061.4,76940.73,77768.07,71253.89,72889.1
2022-02-25,59061.4,74987.1,78282.33,74471.3,77462.09
2022-02-26,59061.4,74987.1,78282.33,74471.3,77462.09
2022-02-27,59061.4,74987.1,78282.33,74471.3,77462.09
2022-02-28,59061.4,76192.31,78513.25,75265.62,78031.36
2022-03-01,59061.4,76192.31,78513.25,75265.62,78031.36
2022-03-02,59061.4,77392.1,78954.51,76367.13,77887.79
2022-03-03,59061.4,79222.57,80204.3,77198.65,77979.97
2022-03-04,59061.4,77418.4,77762.73,75213.67,75683.18
2022-03-05,59061.4,77418.4,77762.73,75213.67,75683.18
2022-03-06,59061.4,77418.4,77762.73,75213.67,75683.18
2022-03-07,59061.4,73861.26,74423.38,71850.06,73200.0
2022-03-08,59061.4,72819.33,75155.59,71541.78,74668.49
2022-03-09,59061.4,75327.46,76883.53,74382.27,76189.5
2022-03-10,59061.4,78746.31,79654.85,76940.73,77879.69
2022-03-11,59061.4,77497.58,78984.22,76836.2,78577.78
2022-03-12,59061.4,77497.58,78984.22,76836.2,78577.78
2022-03-13,59061.4,77497.58,78984.22,76836.2,78577.78
2022-03-14,59061.4,78655.47,79006.15,76987.86,78024.54
2022-03-15,59061.4,78048.64,79285.75,76599.99,77394.62
2022-03-16,59061.4,78716.84,79641.35,78147.87,79063.98
2022-03-17,59061.4,80154.29,80674.89,79422.77,80013.83
2022-03-18,59061.4,80154.29,80674.89,79422.77,80013.83
2022-03-19,59061.4,80154.29,80674.89,79422.77,80013.83
2022-03-20,59061.4,80154.29,80674.89,79422.77,80013.83
2022-03-21,59061.4,80221.82,80760.12,78896.9,79100.15
2022-03-22,59061.4,79252.92,80954.54,78067.3,80691.34
2022-03-23,59061.4,81142.47,82265.93,80191.71,80906.32
2022-03-24,59061.4,80443.95,81838.05,79799.69,81297.67
2022-03-25,59061.4,81604.64,82374.22,80611.07,81314.27
2022-03-26,59061.4,81604.64,82374.22,80611.07,81314.27
2022-03-27,59061.4,81604.64,82374.22,80611.07,81314.27
2022-03-28,59061.4,81550.57,81943.67,79928.67,80737.91
2022-03-29,59061.4,81475.0,82444.2,80525.21,81372.6
2022-03-30,59061.4,82107.5,82857.76,81129.18,81802.72
2022-03-31,59061.4,81976.22,82306.88,80834.02,81088.15
2022-04-01,59061.4,81054.95,83164.49,80788.09,82835.09
2022-04-02,59061.4,81054.95,83164.49,80788.09,82835.09
2022-04-03,59061.4,81054.95,83164.49,80788.09,82835.09
2022-04-04,59061.4,83337.76,84800.92,82750.55,84296.84
2022-04-05,59061.4,84869.81,88067.57,84283.37,87375.87
2022-04-06,59061.4,87417.08,90452.09,86724.57,89008.79
2022-04-07,59061.4,89291.57,90343.93,86458.06,86823.93
2022-04-08,59061.4,87282.33,88400.32,86382.99,87502.89
2022-04-09,59061.4,87282.33,88400.32,86382.99,87502.89
2022-04-10,59061.4,87282.33,88400.32,86382.99,87502.89
2022-04-11,59061.4,88092.24,89539.09,87535.14,88148.46
2022-04-12,59061.4,88050.67,88127.69,84758.16,85764.76
2022-04-13,59061.4,86431.17,86984.0,84826.43,85139.81
2022-04-14,59061.4,86431.17,86984.0,84826.43,85139.81
2022-04-15,59061.4,86431.17,86984.0,84826.43,85139.81
2022-04-16,59061.4,86431.17,86984.0,84826.43,85139.81
2022-04-17,59061.4,86431.17,86984.0,84826.43,85139.81
2022-04-18,59061.4,84248.97,85116.01,81649.82,83585.06
2022-04-19,59061.4,84190.78,85129.78,80241.34,81583.48
2022-04-20,59061.4,82565.16,84126.12,81554.87,83178.07
2022-04-21,59061.4,83955.4,85371.88,83373.63,85028.15
2022-04-22,59061.4,84424.57,85122.99,83308.46,83560.85
2022-04-23,59061.4,84424.57,85122.99,83308.46,83560.85
2022-04-24,59061.4,84424.57,85122.99,83308.46,83560.85
2022-04-25,59061.4,82227.63,82945.82,80369.6,80939.49
2022-04-26,59061.4,82202.9,82843.74,81563.04,82310.26
2022-04-27,59061.4,81504.72,83027.58,80812.67,81759.46
2022-04-28,59061.4,82694.08,83036.44,81219.2,82282.9
2022-04-29,59061.4,82924.02,83862.82,80761.42,81172.66
2022-04-30,59061.4,82924.02,83862.82,80761.42,81172.66
2022-05-01,59061.4,82924.02,83862.82,80761.42,81172.66
2022-05-02,59061.4,81427.52,84430.12,80542.25,83253.09
2022-05-03,59061.4,81427.52,84430.12,80542.25,83253.09
2022-05-04,59061.4,83872.97,84838.29,81302.59,81959.88
2022-05-05,59061.4,82926.72,84129.96,81967.64,82615.24
2022-05-06,59061.4,81242.98,81998.63,79799.69,80635.31
2022-05-07,59061.4,81242.98,81998.63,79799.69,80635.31
2022-05-08,59061.4,81242.98,81998.63,79799.69,80635.31
2022-05-09,59061.4,79196.51,79534.97,76602.56,78147.01
2022-05-10,59061.4,77724.67,79171.31,75078.59,75625.66
2022-05-11,88845.4,105710.21,107554.16,102648.9,105701.46
2022-05-12,88845.4,104629.76,105248.78,100397.6,101627.13
2022-05-13,102405.4,107886.1,112173.32,106264.08,108371.73
2022-05-14,102405.4,107886.1,112173.32,106264.08,108371.73
2022-05-15,102405.4,107886.1,112173.32,106264.08,108371.73
2022-05-16,102405.4,109770.65,110551.87,106940.17,109212.88
2022-05-17,102405.4,119455.48,125277.99,118665.32,124188.08
2022-05-18,102405.4,124629.77,125664.32,121992.81,122682.56
2022-05-19,102405.4,119060.03,120583.63,117336.71,118188.66
2022-05-20,102405.4,120569.85,123046.51,119683.39,121637.79
2022-05-21,102405.4,120569.85,123046.51,119683.39,121637.79
2022-05-22,102405.4,120569.85,123046.51,119683.39,121637.79
2022-05-23,102405.4,122440.05,124083.9,120181.14,120977.95
2022-05-24,102405.4,121408.66,122452.67,119320.32,120944.78
2022-05-25,102405.4,121853.65,122302.8,117359.34,118046.78
2022-05-26,102405.4,119014.85,119623.37,113858.32,118561.23
2022-05-27,102405.4,120078.12,121626.99,119004.62,120174.19
2022-05-28,102405.4,120078.12,121626.99,119004.62,120174.19
2022-05-29,102405.4,120078.12,121626.99,119004.62,120174.19
2022-05-30,102405.4,121919.97,124330.65,121420.11,123664.64
2022-05-31,102405.4,123450.23,125010.15,122406.15,123531.88
2022-06-01,102405.4,123505.47,124487.27,122061.33,123281.43
2022-06-02,102405.4,123291.91,124371.23,121944.31,123070.46
2022-06-03,102405.4,124195.6,124388.56,120961.68,121325.66
2022-06-04,102405.4,124195.6,124388.56,120961.68,121325.66
2022-06-05,102405.4,124195.6,124388.56,120961.68,121325.66
2022-06-06,102405.4,120906.88,122233.34,119118.43,121246.79
2022-06-07,102405.4,120884.89,122373.97,119692.84,121513.57
2022-06-08,102405.4,122064.9,122581.49,119978.84,120936.73
2022-06-09,102405.4,120186.34,121611.64,119085.78,120324.78
2022-06-10,102405.4,119159.99,120341.59,118393.97,119628.13
2022-06-11,102405.4,119159.99,120341.59,118393.97,119628.13
2022-06-12,102405.4,119159.99,120341.59,118393.97,119628.13
2022-06-13,102405.4,116683.65,117525.05,113653.68,114085.66
2022-06-14,102405.4,112818.29,116127.3,112052.86,114159.42
2022-06-15,102405.4,115313.04,116796.82,113747.02,114908.82
2022-06-16,102405.4,116511.06,117042.63,109856.68,110406.02
2022-06-17,102405.4,109737.49,111304.7,107964.39,109357.06
2022-06-18,102405.4,109737.49,111304.7,107964.39,109357.06
2022-06-19,102405.4,109737.49,111304.7,107964.39,109357.06
2022-06-20,102405.4,110061.93,110667.58,103353.59,105264.22
2022-06-21,102405.4,106693.04,110078.73,105243.98,109195.87
2022-06-22,102405.4,108955.74,109533.63,106732.65,107695.03
